,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mana,5.6592,-53.7767,77.25,83,96,11.74,GF,1611025426
1,Barrow,71.2906,-156.7887,-2.2,78,90,20.71,US,1611025426
2,Cape Town,-33.9258,18.4232,68.0,88,0,10.36,ZA,1611025426
3,Atasū,48.6814,71.6433,14.02,87,93,5.12,KZ,1611025426
4,Vaini,-21.2,-175.2,86.0,74,75,9.22,TO,1611025426
5,Douentza,14.9951,-2.9517,63.41,25,0,5.17,ML,1611025392
6,Rikitea,-23.1203,-134.9692,78.26,72,29,14.2,PF,1611025427
7,Saint Paul Harbor,57.79,-152.4072,37.4,60,75,17.27,US,1611025427
8,Mar del Plata,-38.0023,-57.5575,73.99,56,0,4.61,AR,1611025365
9,Constitución,-35.3333,-72.4167,58.1,81,0,3.83,CL,1611025427
10,Bubaque,11.2833,-15.8333,78.73,58,0,10.0,GW,1611025427
11,Verāval,20.9,70.3667,69.76,35,0,9.86,IN,1611025427
12,Souillac,-20.5167,57.5167,78.8,94,75,6.91,MU,1611025427
13,Lorengau,-2.0226,147.2712,84.97,73,62,11.01,PG,1611025408
14,Parkes,-33.1333,148.1833,86.34,13,0,7.92,AU,1611025427
15,Bredasdorp,-34.5322,20.0403,64.4,88,98,3.44,ZA,1611025427
16,Tiksi,71.6872,128.8694,-29.96,85,100,4.92,RU,1611025382
17,Punta Arenas,-53.15,-70.9167,48.2,81,0,12.66,CL,1611025130
18,Coquimbo,-29.9533,-71.3436,59.0,82,0,6.91,CL,1611025346
19,Busselton,-33.65,115.3333,97.0,31,9,5.01,AU,1611025375
20,Kapaa,22.0752,-159.319,71.6,68,75,26.46,US,1611025345
21,Torbay,47.6666,-52.7314,37.0,93,90,8.05,CA,1611025397
22,Gornyy,55.1153,83.9059,-12.55,90,3,11.03,RU,1611025428
23,Pochutla,15.7432,-96.4661,75.99,69,0,3.18,MX,1611025428
24,Lavrentiya,65.5833,-171.0,-10.82,86,100,8.41,RU,1611025428
25,Atuona,-9.8,-139.0333,78.49,77,5,17.52,PF,1611025428
26,Arraial do Cabo,-22.9661,-42.0278,75.67,84,0,20.33,BR,1611025428
27,College,64.8569,-147.8028,37.4,68,75,3.96,US,1611025363
28,Tavrichanka,43.3378,131.8639,-2.2,35,0,15.66,RU,1611025428
29,Albany,42.6001,-73.9662,30.0,70,14,6.71,US,1611025403
30,Kodīnar,20.7903,70.7031,69.94,32,0,6.2,IN,1611025428
31,Dingle,10.9995,122.6711,76.86,89,100,12.06,PH,1611025429
32,Longyearbyen,78.2186,15.6401,17.6,62,20,25.32,SJ,1611025215
33,Khatanga,71.9667,102.5,-35.14,81,0,12.59,RU,1611025429
34,Kenai,60.5544,-151.2583,37.0,80,90,12.66,US,1611025397
35,Bandarbeyla,9.4942,50.8122,73.36,65,90,21.72,SO,1611025398
36,Cherskiy,68.75,161.3,-41.57,80,59,5.55,RU,1611025429
37,Dhārchula,29.85,80.5333,55.08,30,0,3.11,IN,1611025429
38,Taldan,53.6667,124.8,-20.85,78,6,1.48,RU,1611025429
39,Ostrovnoy,68.0531,39.5131,18.52,96,93,11.01,RU,1611025429
40,Ariquemes,-9.9133,-63.0408,72.91,98,99,2.86,BR,1611025313
41,Kahului,20.8947,-156.47,71.6,83,90,28.77,US,1611025169
42,Asău,46.4333,26.4,10.0,71,19,5.86,RO,1611025429
43,Iqaluit,63.7506,-68.5145,21.2,86,90,17.27,CA,1611025207
44,Hermanus,-34.4187,19.2345,63.0,91,63,2.89,ZA,1611025429
45,Berlevåg,70.8578,29.0864,28.2,93,100,23.91,NO,1611025429
46,Ilulissat,69.2167,-51.1,6.8,61,36,2.3,GL,1611025430
47,Ulladulla,-35.35,150.4667,69.8,49,75,17.27,AU,1611025430
48,Port Blair,11.6667,92.75,82.4,74,75,8.05,IN,1611025430
49,Nanortalik,60.1432,-45.2371,28.13,84,100,7.4,GL,1611025393
50,Port Alfred,-33.5906,26.891,66.0,91,0,1.01,ZA,1611025430
51,Maceió,-9.6658,-35.7353,73.4,94,0,3.44,BR,1611025430
52,Pevek,69.7008,170.3133,-28.57,86,100,6.58,RU,1611025430
53,Avarua,-21.2078,-159.775,82.4,78,95,5.75,CK,1611025430
54,Butaritari,3.0707,172.7902,81.48,80,45,17.49,KI,1611025430
55,Karaton,-6.3424,106.1045,82.4,74,40,10.36,ID,1611025430
56,Pemangkat,1.1667,108.9667,80.51,82,100,11.88,ID,1611025430
57,Makakilo City,21.3469,-158.0858,71.6,73,20,11.5,US,1611025431
58,Roebourne,-20.7833,117.1333,103.26,23,17,6.64,AU,1611025431
59,Ushuaia,-54.8,-68.3,50.0,76,40,4.61,AR,1611025365
60,Kailua,21.4022,-157.7394,71.6,94,90,21.85,US,1611025431
61,Hasaki,35.7333,140.8333,48.0,26,20,24.16,JP,1611025431
62,Nicoya,10.1483,-85.452,78.8,69,0,9.22,CR,1611025223
63,Matamoros,25.5333,-103.25,68.0,15,1,3.6,MX,1611025224
64,Hilo,19.7297,-155.09,71.6,83,90,6.91,US,1611025415
65,Avera,33.194,-82.5271,37.99,70,1,6.33,US,1611025431
66,Norman Wells,65.282,-126.8329,1.4,85,75,10.36,CA,1611025431
67,Kudat,6.8837,116.8477,77.0,94,40,6.91,MY,1611025431
68,Baykit,61.67,96.37,-19.52,82,100,3.0,RU,1611025431
69,Hobart,-42.8794,147.3294,66.0,35,0,19.57,AU,1611025431
70,Chokurdakh,70.6333,147.9167,-33.63,84,4,4.21,RU,1611025432
71,George Town,5.4112,100.3354,81.0,69,20,5.75,MY,1611025215
72,Coahuayana Viejo,18.7333,-103.6833,71.64,89,54,1.77,MX,1611025432
73,Miles City,46.4083,-105.8406,30.2,86,75,14.97,US,1611025432
74,Mataura,-46.1927,168.8643,61.0,55,53,18.01,NZ,1611025375
75,Bethel,41.3712,-73.414,33.01,59,1,5.75,US,1611025384
76,Aklavik,68.2191,-135.0107,3.2,85,88,8.05,CA,1611025432
77,Sirte,31.2089,16.5887,57.67,69,31,18.12,LY,1611025432
78,Bluff,-46.6,168.3333,61.0,55,61,18.01,NZ,1611025432
79,Gaza,31.5,34.4667,51.01,50,0,1.99,PS,1611025432
80,Narsaq,60.9167,-46.05,15.8,62,100,4.61,GL,1611025388
81,Fengrun,39.8333,118.1167,19.04,85,100,6.82,CN,1611025432
82,Cabo San Lucas,22.8909,-109.9124,71.6,33,90,3.44,MX,1611025148
83,Whitehorse,60.7161,-135.0538,32.0,100,90,14.97,CA,1611025432
84,Strezhevoy,60.7333,77.5889,-23.8,69,0,6.71,RU,1611025432
85,Tigil',57.8,158.6667,9.61,91,100,13.91,RU,1611025433
86,Alexandria,31.2156,29.9553,55.4,71,40,16.11,EG,1611025369
87,Warkworth,-36.4,174.6667,73.0,70,89,4.0,NZ,1611025433
88,Kiama,-34.6833,150.8667,73.0,62,53,1.99,AU,1611025433
89,Province of Mantua,45.1667,10.7833,26.6,93,96,3.44,IT,1611025433
90,Jamestown,42.097,-79.2353,30.0,86,90,16.11,US,1611025433
91,Fershampenuaz,53.5202,59.8117,1.0,92,100,4.52,RU,1611025433
92,Zelenogorskiy,55.0333,87.0,-2.2,84,40,8.95,RU,1611025433
93,Poum,-20.2333,164.0167,83.41,75,100,8.46,NC,1611025433
94,Vila Velha,-20.3297,-40.2925,77.0,83,20,4.61,BR,1611025216
95,New Norfolk,-42.7826,147.0587,66.0,38,60,4.0,AU,1611025433
96,Lata,40.1629,-8.3327,48.99,93,0,2.3,PT,1611025381
97,Kruisfontein,-34.0033,24.7314,61.0,91,0,1.01,ZA,1611025433
98,Qaanaaq,77.484,-69.3632,4.5,84,95,7.38,GL,1611025434
99,Nhulunbuy,-12.2333,136.7667,86.0,70,75,10.36,AU,1611025434
100,Pápa,47.33,17.4674,30.2,80,90,9.22,HU,1611025434
101,Bud,39.447,-86.1758,30.99,89,97,5.97,US,1611025434
102,Andrews,32.3187,-102.5457,42.8,52,1,9.22,US,1611025434
103,San Cristobal,7.7669,-72.225,65.35,88,43,1.34,VE,1611025434
104,Penukonda,14.0833,77.5833,67.57,71,0,5.82,IN,1611025434
105,Ponta do Sol,32.6667,-17.1,57.0,66,79,1.01,PT,1611025376
106,Durban,-29.8579,31.0292,69.8,94,75,3.44,ZA,1611025434
107,Lebu,-37.6167,-73.65,59.07,86,0,18.59,CL,1611025434
108,Nikolskoye,59.7035,30.7861,21.2,86,90,2.24,RU,1611025434
109,Teya,60.3778,92.6267,-5.35,86,100,7.83,RU,1611025434
110,Salalah,17.0151,54.0924,69.8,21,0,10.36,OM,1611025435
111,Alekseyevsk,57.8406,108.3492,15.78,94,100,14.92,RU,1611025435
112,Clyde,41.3042,-82.9752,30.99,87,98,11.52,US,1611025435
113,Ribeira Grande,38.5167,-28.7,63.27,88,100,34.49,PT,1611025435
114,Lüderitz,-26.6481,15.1594,64.83,82,47,12.88,NA,1611025435
115,Port-Gentil,-0.7193,8.7815,80.31,80,100,15.26,GA,1611025339
116,Saint-Félicien,48.6501,-72.4491,5.0,66,20,13.8,CA,1611025435
117,Diedorf,48.35,10.7667,26.01,93,20,8.05,DE,1611025435
118,Yerbogachën,61.2767,108.0108,-23.44,86,100,10.11,RU,1611025435
119,East London,-33.0153,27.9116,69.06,81,0,17.54,ZA,1611025435
120,Carnarvon,-24.8667,113.6333,86.0,84,12,13.8,AU,1611025435
121,Saint George,37.1041,-113.5841,48.2,27,1,12.66,US,1611025388
122,Edd,13.9297,41.6925,71.13,81,67,1.57,ER,1611025435
123,Erenhot,43.6475,111.9767,10.62,91,57,3.47,CN,1611025435
124,Sulangan,11.1373,123.7228,77.76,88,100,21.39,PH,1611025436
125,Chioggia,45.2256,12.2889,30.0,93,10,2.3,IT,1611025436
126,Saint-Philippe,-21.3585,55.7679,79.0,65,0,4.61,RE,1611025436
127,Cidreira,-30.1811,-50.2056,69.26,73,15,6.78,BR,1611025436
128,Geraldton,-28.7667,114.6,87.8,55,1,13.8,AU,1611025436
129,Tuatapere,-46.1333,167.6833,61.0,55,71,18.01,NZ,1611025436
130,Hithadhoo,-0.6,73.0833,80.29,69,0,7.52,MV,1611025436
131,Vao,-22.6667,167.4833,78.15,89,97,11.95,NC,1611025436
132,Hirara,24.8,125.2833,66.2,63,75,13.8,JP,1611025436
133,Faanui,-16.4833,-151.75,81.41,75,0,16.55,PF,1611025436
134,Sitka,57.0531,-135.33,46.4,81,90,26.46,US,1611025436
135,Ketchikan,55.3422,-131.6461,44.6,87,90,20.71,US,1611025436
136,Kiryat Gat,31.61,34.7642,51.01,50,0,1.99,IL,1611025437
137,Kita,13.0349,-9.4895,64.17,25,0,4.56,ML,1611025437
138,Richards Bay,-28.783,32.0377,69.91,86,65,4.56,ZA,1611025437
139,Sijunjung,-0.6876,100.9537,72.73,83,100,0.34,ID,1611025176
140,Safaga,26.7292,33.9365,53.6,35,0,11.5,EG,1611025437
141,Darhan,49.4867,105.9228,7.75,90,66,6.78,MN,1611025437
142,Dikson,73.5069,80.5464,-19.03,86,23,22.59,RU,1611025389
143,Carutapera,-1.195,-46.02,79.14,78,100,6.53,BR,1611025437
144,Santa Isabel Rio Negro,-0.4139,-65.0192,75.06,87,58,1.88,BR,1611025437
145,Kuandian,40.7286,124.7847,6.66,71,0,2.55,CN,1611025437
146,Tessalit,20.1986,1.0114,60.73,28,32,13.91,ML,1611025438
147,Port Elizabeth,-33.918,25.5701,64.4,94,0,4.61,ZA,1611025143
148,Finote Selam,10.7,37.2667,54.21,41,59,2.48,ET,1611025438
149,Jinka,5.65,36.65,62.65,48,88,3.51,ET,1611025438
150,Nishihara,26.1842,127.7558,66.2,39,40,12.66,JP,1611025438
151,Kutum,14.2,24.6667,49.91,47,16,11.05,SD,1611025438
152,Bekhtery,46.251,32.2927,-2.2,84,0,4.47,UA,1611025438
153,Bontang,0.1333,117.5,82.2,80,100,8.61,ID,1611025438
154,Andenes,69.3143,16.1194,30.2,80,83,13.8,NO,1611025438
155,Manokwari,-0.8667,134.0833,82.36,73,68,4.05,ID,1611025171
156,Paamiut,61.994,-49.6678,27.55,84,97,6.42,GL,1611025389
157,Coro,11.4045,-69.6734,75.09,85,52,10.92,VE,1611025438
158,Rafai,4.95,23.9167,62.1,32,3,2.48,CF,1611025439
159,Chernyshevskiy,63.0128,112.4714,-45.54,79,100,10.58,RU,1611025439
160,Nizhniy Kuranakh,58.8353,125.4869,-31.09,77,1,1.99,RU,1611025439
161,Baghdad,33.3406,44.4009,50.0,66,0,6.91,IQ,1611025439
162,Ahome,25.9167,-109.1833,61.0,67,1,4.61,MX,1611025439
163,Rundu,-17.9333,19.7667,65.46,92,100,8.88,NA,1611025439
164,Tasiilaq,65.6145,-37.6368,21.2,42,27,1.14,GL,1611025439
165,Thompson,55.7435,-97.8558,-7.6,84,90,1.45,CA,1611025439
166,Price,39.5994,-110.8107,32.0,43,90,18.41,US,1611025439
167,Pau dos Ferros,-6.1125,-38.2063,74.59,84,99,5.1,BR,1611025439
168,Yellowknife,62.456,-114.3525,1.4,85,90,12.66,CA,1611025271
169,Rio Branco,-9.9747,-67.81,69.8,94,90,4.61,BR,1611025439
170,Omboué,-1.5746,9.2618,77.61,86,100,8.08,GA,1611025439
171,Bambous Virieux,-20.3428,57.7575,80.01,94,75,6.91,MU,1611025398
172,Flin Flon,54.7682,-101.865,-3.26,92,91,4.65,CA,1611025440
173,Fray Bentos,-33.1325,-58.2956,72.0,53,0,1.99,UY,1611025313
174,Bengkulu,-3.8004,102.2655,82.9,63,96,1.63,ID,1611025440
175,Mahébourg,-20.4081,57.7,78.8,94,75,6.91,MU,1611025397
176,Fortuna,40.5982,-124.1573,52.0,93,1,8.05,US,1611025440
177,Takoradze,4.8845,-1.7554,78.44,89,1,7.0,GH,1611025440
178,Sucre,-19.0333,-65.2627,49.17,77,97,3.58,BO,1611025440
179,Thinadhoo,0.5333,72.9333,80.44,67,0,6.82,MV,1611025415
180,Letka,59.6011,49.4232,-5.06,91,86,3.85,RU,1611025440
181,Kumul,42.8,93.45,20.86,71,0,2.68,CN,1611025376
182,Kawalu,-7.3817,108.2082,82.36,68,100,3.78,ID,1611025441
183,Yangi Marg`ilon,40.4272,71.7189,37.4,70,100,6.91,UZ,1611025441
184,Honiara,-9.4333,159.95,85.33,72,59,4.32,SB,1611025266
185,Yamoussoukro,6.8206,-5.2767,73.4,94,1,3.51,CI,1611025441
186,Butajīra,8.1167,38.3667,51.96,60,98,8.34,ET,1611025441
187,Puerto Ayora,-0.7393,-90.3518,73.0,98,58,4.74,EC,1611025441
188,Petropavlovsk-Kamchatskiy,53.0452,158.6483,23.0,50,40,22.37,RU,1611025438
189,Lompoc,34.6391,-120.4579,66.2,37,1,13.8,US,1611025409
190,Egvekinot,66.3167,-179.1667,-18.02,86,100,8.97,RU,1611025376
191,Westport,41.1415,-73.3579,37.4,52,1,10.36,US,1611025287
192,Ikorodu,6.6191,3.5041,79.3,83,0,7.72,NG,1611025441
193,Sisimiut,66.9395,-53.6735,21.42,85,15,11.14,GL,1611025442
194,Sibolga,1.7427,98.7792,84.78,60,88,1.45,ID,1611025442
195,Aljezur,37.3191,-8.8033,48.0,100,0,1.99,PT,1611025442
196,Baruun-Urt,46.6806,113.2792,1.42,89,0,8.7,MN,1611025328
197,Leningradskiy,69.3833,178.4167,-22.16,84,100,12.82,RU,1611025376
198,São Félix do Xingu,-6.6447,-51.995,73.18,94,100,1.03,BR,1611025442
199,Atherton,53.5237,-2.4935,46.99,88,100,1.99,GB,1611025276
200,Tuktoyaktuk,69.4541,-133.0374,-5.8,77,20,12.66,CA,1611025435
201,Fenelon Falls,44.5334,-78.7496,19.4,86,99,1.14,CA,1611025442
202,Laguna,38.421,-121.4238,66.0,20,1,21.85,US,1611025442
203,Ponta Delgada,37.7333,-25.6667,61.0,88,75,20.71,PT,1611025442
204,Segovia,41.1667,-4.0,30.99,90,0,4.38,ES,1611025442
205,Castro,-24.7911,-50.0119,64.69,97,100,10.74,BR,1611025387
206,Chumikan,54.7183,135.315,-18.11,76,0,29.35,RU,1611025443
207,Marsaxlokk,35.8419,14.5431,48.0,81,20,6.91,MT,1611025443
208,Sur,22.5667,59.5289,68.52,51,0,4.45,OM,1611025443
209,Tooele,40.5308,-112.2983,30.2,93,90,4.61,US,1611025443
210,Kieta,-6.2167,155.6333,86.13,60,87,3.87,PG,1611025443
211,Henties Bay,-22.116,14.2845,64.99,88,47,3.31,NA,1611025443
212,Killybegs,54.6333,-8.45,44.01,97,100,1.01,IE,1611025443
213,Kaukauna,44.278,-88.272,23.0,58,90,11.5,US,1611025443
214,Portland,45.5234,-122.6762,45.0,70,1,5.75,US,1611025401
215,Ossora,59.2353,163.0719,-5.24,86,100,12.33,RU,1611025444
216,Upernavik,72.7868,-56.1549,6.76,77,23,6.89,GL,1611025444
217,Guiratinga,-16.3494,-53.7583,71.02,95,100,2.04,BR,1611025444
218,Udachny,66.4167,112.4,-55.57,59,55,4.05,RU,1611025444
219,Cardston,49.2,-113.3019,30.2,74,0,8.05,CA,1611025444
220,Owatonna,44.0839,-93.226,21.2,86,90,5.75,US,1611025444
221,Newcastle,-32.9272,151.7765,73.0,73,90,18.41,AU,1611025192
222,Sambava,-14.2667,50.1667,75.65,88,100,11.7,MG,1611025444
223,Saskylakh,71.9167,114.0833,-42.11,79,93,3.69,RU,1611025444
224,Plouzané,48.3833,-4.6167,50.0,100,90,21.85,FR,1611025444
225,Huarmey,-10.0681,-78.1522,70.45,83,100,7.49,PE,1611025444
226,Soubre,5.7856,-6.6083,72.81,89,11,2.46,CI,1611025444
227,Koungheul,13.9833,-14.8,70.11,20,18,11.48,SN,1611025444
228,Mukhen,48.1,136.1,-9.17,83,96,13.58,RU,1611025445
229,Kaeo,-35.1,173.7833,74.37,57,100,14.14,NZ,1611025445
230,Kilindoni,-7.9139,39.6668,81.09,81,100,11.48,TZ,1611025445
231,Najrān,17.4924,44.1277,51.8,40,0,4.61,SA,1611025445
232,Fairbanks,64.8378,-147.7164,37.4,41,1,11.5,US,1611025411
233,Urucará,-2.5364,-57.76,73.81,98,99,1.32,BR,1611025445
234,Kaitangata,-46.2817,169.8464,60.31,47,100,12.19,NZ,1611025377
235,Dom Pedro,-4.4833,-44.45,72.48,98,100,1.63,BR,1611025445
236,Deputatsky,69.3,139.9,-39.78,84,80,2.04,RU,1611025445
237,Chapais,49.7834,-74.8492,-4.0,77,1,5.75,CA,1611025445
238,Perth,-31.9333,115.8333,98.01,19,40,12.66,AU,1611025279
239,Salemi,37.8231,12.8056,42.01,93,0,6.91,IT,1611025445
240,Kungurtug,50.5994,97.5228,12.63,85,90,1.5,RU,1611025446
241,Tura,25.5198,90.2201,66.76,52,3,5.66,IN,1611025446
242,Uyuni,-20.4597,-66.825,50.09,67,70,13.42,BO,1611025446
243,Santa Rosa,14.3122,121.1114,80.6,74,75,2.3,PH,1611025356
244,Kristinestad,62.2743,21.376,29.25,95,98,9.42,FI,1611025446
245,Goderich,43.7501,-81.7165,30.2,86,100,6.91,CA,1611025282
246,Eyl,7.9803,49.8164,72.18,55,89,14.83,SO,1611025330
247,Tiznit Province,29.5833,-9.5,50.23,53,31,1.01,MA,1611025446
248,Ballina,-28.8667,153.5667,86.0,65,88,9.22,AU,1611025446
249,Tokur,53.1333,132.9,-27.47,84,92,4.36,RU,1611025446
250,Felipe Carrillo Puerto,19.5833,-88.05,68.43,85,97,2.84,MX,1611025446
251,Itaparica,-12.8883,-38.6786,82.4,65,20,10.36,BR,1611025270
252,Missoula,47.0166,-113.8009,33.8,75,90,4.61,US,1611025210
253,Mastic Beach,40.7668,-72.8521,37.99,60,1,9.22,US,1611025447
254,Sorong,-0.8833,131.25,81.16,74,100,7.29,ID,1611025447
255,Dutse,11.7594,9.3392,61.43,30,70,9.22,NG,1611025447
256,Bitkine,11.9801,18.2138,62.1,28,65,8.14,TD,1611025447
257,Daugavpils,55.8833,26.5333,9.25,93,99,4.61,LV,1611025447
258,Kodinsk,58.6881,99.1844,8.78,93,100,9.75,RU,1611025447
259,Kimbe,-5.5502,150.1429,88.32,65,63,4.56,PG,1611025447
260,Quelimane,-17.8786,36.8883,78.8,94,75,4.61,MZ,1611025447
261,Severo-Kuril'sk,50.6789,156.125,19.6,86,87,28.14,RU,1611025447
262,Provideniya,64.3833,-173.3,-4.0,71,75,13.42,RU,1611025447
263,Weihai,37.5017,122.1136,28.44,88,0,9.55,CN,1611025448
264,Alofi,-19.0595,-169.9187,87.8,66,75,8.05,NU,1611025448
265,Shingū,33.7333,135.9833,44.6,45,40,26.46,JP,1611025448
266,São João da Barra,-21.6403,-41.0511,76.05,89,0,14.2,BR,1611025448
267,Olafsvik,64.8945,-23.7142,30.88,91,21,13.29,IS,1611025448
268,San Vicente de Cañete,-13.0751,-76.3835,70.93,81,100,2.37,PE,1611025448
269,Usmajac,19.8667,-103.5667,60.76,69,86,1.74,MX,1611025448
270,Smithers,54.7804,-127.1743,30.2,93,90,5.75,CA,1611025204
271,Awjilah,29.1081,21.2869,49.69,50,0,11.61,LY,1611025389
272,Zhangaözen,43.3,52.8,29.57,93,100,12.35,KZ,1611025448
273,Oranjemund,-28.55,16.4333,66.78,78,98,11.88,NA,1611025448
274,‘Āhuimanu,21.4447,-157.8378,71.6,94,90,21.85,US,1611025448
275,Flinders,-34.5833,150.8552,73.0,59,31,5.99,AU,1611025408
276,Palmer,42.1584,-72.3287,30.99,55,20,8.05,US,1611025448
277,Baiyin,36.5583,104.2081,30.99,35,0,4.47,CN,1611025449
278,Shimoda,34.6667,138.95,48.2,53,20,12.66,JP,1611025449
279,La Santisima Trinidad,-14.8333,-64.9,65.95,83,97,3.49,BO,1611025346
280,Hong Kong,22.2855,114.1577,62.01,53,0,1.99,HK,1611025449
281,Klaksvík,62.2266,-6.589,35.6,87,8,6.91,FO,1611025449
282,São Filipe,14.8961,-24.4956,73.2,65,100,9.62,CV,1611025449
283,Airai,-8.9266,125.4092,64.24,100,100,2.1,TL,1611025390
284,Naryan-Mar,67.6713,53.087,-6.7,91,100,13.62,RU,1611025449
285,Athabasca,54.7169,-113.2854,33.8,64,66,8.05,CA,1611025449
286,Doaba,33.4244,70.7364,44.71,55,0,2.44,PK,1611025449
287,Isangel,-19.55,169.2667,87.8,74,75,9.22,VU,1611025449
